location_id,provider_id,hospital_name,city,state,latitude,longitude,beds,trauma_level,total_staff,website
176,10176,Hospital Community Health System,Dallas,IL,38.281539,-118.174144,246.0,Level 2,1189.0,www.hospital176.com
177,10177,Hospital Hope Hospital,Boston,CA,33.367579,-107.988553,489.0,,898.0,
178,10178,Hospital Central Hospital,Chicago,FL,31.300835,-87.1408,320.0,Level 2,186.0,www.hospital178.com
179,10179,Hospital Community Care Center,Miami,FL,40.149518,-111.156614,192.0,Level 3,1342.0,www.hospital179.com
180,10180,Hospital Grace Health System,Dallas,FL,30.082486,-98.12315,77.0,Level 2,1476.0,www.hospital180.com
181,10181,Hospital St. Mary Medical Center,Boston,WA,35.558189,-107.032459,266.0,,1929.0,www.hospital181.com
182,10182,Hospital Unity Health System,Seattle,GA,42.093126,-119.703575,411.0,Level 1,1203.0,www.hospital182.com
183,10183,Hospital St. Mary Medical Center,Seattle,IL,40.939909,-94.839567,128.0,,515.0,www.hospital183.com
184,10184,Hospital Central Hospital,Philadelphia,IL,42.188499,-109.933611,,,1822.0,www.hospital184.com
185,10185,Hospital Community Hospital,Philadelphia,FL,37.461147,-90.578277,277.0,Level 3,320.0,www.hospital185.com
186,10186,Hospital Grace Care Center,Philadelphia,AZ,38.851266,-107.922894,490.0,Level 2,114.0,www.hospital186.com
187,10187,Hospital Unity Care Center,Dallas,GA,34.533996,-102.415955,442.0,Level 1,,www.hospital187.com
188,10188,Hospital St. Mary Medical Center,Atlanta,IL,32.394856,-111.545309,278.0,Level 3,1607.0,
189,10189,Hospital General Hospital,Houston,GA,37.950301,-97.80502,,Level 2,1035.0,
190,10190,Hospital Mercy Medical Center,Atlanta,FL,36.333183,-118.114878,376.0,Level 2,384.0,
191,10191,Hospital Central Care Center,Miami,CA,37.582036,-93.565723,315.0,Level 1,718.0,www.hospital191.com
192,10192,Hospital Mercy Hospital,Boston,MA,31.93508,-88.859766,182.0,Level 1,588.0,www.hospital192.com
193,10193,Hospital Unity Hospital,Dallas,AZ,40.321807,-89.892149,,Level 3,1293.0,www.hospital193.com
194,10194,Hospital St. Mary Health System,Philadelphia,PA,44.443137,-104.830939,416.0,Level 2,544.0,www.hospital194.com
195,10195,Hospital Central Medical Center,Boston,TX,41.89735,-109.898845,123.0,Level 3,1741.0,www.hospital195.com
196,10196,Hospital Central Hospital,Chicago,PA,44.94453,-87.10382,134.0,Level 1,251.0,www.hospital196.com
197,10197,Hospital Memorial Medical Center,Seattle,IL,36.003027,-93.319974,176.0,Level 1,,www.hospital197.com
198,10198,Hospital Central Care Center,Seattle,TX,39.51012,-84.625015,195.0,,1038.0,www.hospital198.com
199,10199,Hospital Unity Care Center,Chicago,NY,33.238795,-113.894719,385.0,Level 3,900.0,www.hospital199.com
200,10200,Hospital Regional Hospital,Los Angeles,TX,42.633504,-104.1002,,Level 2,1132.0,www.hospital200.com
201,10201,Hospital Regional Hospital,Boston,GA,31.726213,-93.7585,156.0,Level 3,794.0,www.hospital201.com
202,10202,Hospital Unity Medical Center,Chicago,AZ,34.02848,-106.940141,177.0,Level 3,,www.hospital202.com
203,10203,Hospital Regional Health System,Atlanta,WA,37.069919,-110.306097,,Level 1,1941.0,www.hospital203.com
204,10204,Hospital Unity Hospital,Atlanta,WA,42.255587,-110.582961,20.0,,1922.0,
205,10205,Hospital Community Hospital,Phoenix,IL,41.992505,-119.143112,105.0,Level 3,1497.0,www.hospital205.com
206,10206,Hospital General Clinic,Atlanta,IL,42.657792,-89.091593,,Level 1,1093.0,www.hospital206.com
207,10207,Hospital St. Mary Clinic,Seattle,WA,44.183376,-117.928161,236.0,,1573.0,www.hospital207.com
208,10208,Hospital Memorial Hospital,Atlanta,PA,32.095927,-119.921753,457.0,Level 2,193.0,
209,10209,Hospital Grace Health System,Phoenix,FL,40.013325,-102.923355,86.0,,,
210,10210,Hospital Community Hospital,Boston,MA,36.801623,-103.069037,282.0,Level 1,1795.0,www.hospital210.com
211,10211,Hospital Memorial Medical Center,Los Angeles,FL,30.346083,-90.914658,493.0,Level 3,1072.0,www.hospital211.com
212,10212,Hospital Memorial Clinic,Seattle,PA,38.232241,-96.264037,408.0,Level 1,1757.0,www.hospital212.com
213,10213,Hospital Central Health System,Phoenix,TX,32.386755,-95.174291,403.0,Level 2,,
214,10214,Hospital General Health System,Atlanta,IL,30.475268,-90.472581,255.0,Level 1,1181.0,www.hospital214.com
215,10215,Hospital Central Care Center,Atlanta,WA,44.789777,-79.686716,383.0,,1239.0,www.hospital215.com
216,10216,Hospital Unity Care Center,Houston,CA,31.206306,-87.550046,230.0,Level 3,1500.0,www.hospital216.com
217,10217,Hospital Central Medical Center,Chicago,WA,44.670006,-86.783126,83.0,Level 2,910.0,www.hospital217.com
218,10218,Hospital General Health System,Los Angeles,TX,42.380638,-79.231163,485.0,Level 3,1190.0,www.hospital218.com
219,10219,Hospital Regional Care Center,Los Angeles,CA,33.776168,-83.436574,428.0,Level 1,1803.0,www.hospital219.com
220,10220,Hospital Community Medical Center,Chicago,AZ,30.11846,-101.988133,209.0,Level 2,1997.0,www.hospital220.com
221,10221,Hospital General Care Center,Miami,GA,37.517478,-87.404748,35.0,Level 1,882.0,www.hospital221.com
222,10222,Hospital Unity Health System,Chicago,AZ,39.220688,-98.517994,266.0,,781.0,www.hospital222.com
223,10223,Hospital Central Clinic,Los Angeles,PA,42.125558,-104.626235,401.0,Level 1,1839.0,
224,10224,Hospital Hope Care Center,Boston,PA,43.034512,-110.899865,353.0,Level 2,1022.0,www.hospital224.com
225,10225,Hospital General Clinic,Atlanta,PA,32.377198,-117.819907,431.0,Level 3,724.0,www.hospital225.com
226,10226,Hospital Hope Hospital,Seattle,AZ,30.652268,-84.226827,53.0,Level 2,754.0,www.hospital226.com
227,10227,Hospital Community Medical Center,Boston,NY,32.749457,-81.902439,246.0,Level 2,712.0,www.hospital227.com
228,10228,Hospital Unity Medical Center,Houston,GA,44.25435,-116.107811,278.0,Level 2,1307.0,www.hospital228.com
229,10229,Hospital Mercy Care Center,Atlanta,TX,42.579197,-115.496267,299.0,,1352.0,www.hospital229.com
230,10230,Hospital Memorial Health System,Philadelphia,NY,38.264226,-98.681149,454.0,Level 3,1785.0,www.hospital230.com
231,10231,Hospital Unity Medical Center,Miami,PA,31.383794,-83.065904,101.0,Level 2,657.0,www.hospital231.com
232,10232,Hospital Central Care Center,Houston,CA,32.332199,-117.849874,58.0,,1427.0,www.hospital232.com
233,10233,Hospital Central Medical Center,Boston,CA,34.047229,-97.052373,,Level 3,,www.hospital233.com
234,10234,Hospital Community Care Center,Boston,AZ,36.273695,-79.331807,,,1037.0,www.hospital234.com
235,10235,Hospital Community Clinic,Dallas,CA,34.665174,-83.7574,451.0,Level 2,786.0,www.hospital235.com
236,10236,Hospital Central Clinic,Atlanta,MA,30.146327,-108.901077,193.0,Level 3,,www.hospital236.com
237,10237,Hospital Community Care Center,Dallas,NY,40.420688,-107.017281,196.0,,1983.0,www.hospital237.com
238,10238,Hospital Regional Hospital,Phoenix,CA,35.644538,-84.137825,109.0,Level 2,296.0,www.hospital238.com
239,10239,Hospital Unity Clinic,Chicago,GA,34.228531,-115.285611,460.0,Level 3,366.0,www.hospital239.com
240,10240,Hospital Regional Care Center,Dallas,IL,39.394893,-114.562389,268.0,Level 2,615.0,www.hospital240.com
241,10241,Hospital Hope Health System,Phoenix,MA,44.583457,-110.819198,500.0,Level 2,1583.0,www.hospital241.com
242,10242,Hospital Unity Care Center,Houston,PA,38.330229,-92.858862,21.0,,1184.0,
243,10243,Hospital St. Mary Health System,Miami,NY,31.848512,-114.443681,293.0,Level 2,1177.0,
244,10244,Hospital Community Hospital,Chicago,FL,30.349593,-118.815364,,Level 2,649.0,www.hospital244.com
245,10245,Hospital Unity Care Center,Phoenix,WA,30.242873,-82.3255,60.0,Level 2,781.0,www.hospital245.com
246,10246,Hospital Hope Health System,Los Angeles,CA,36.157522,-118.440088,370.0,Level 3,627.0,www.hospital246.com
247,10247,Hospital Grace Clinic,Houston,CA,38.304682,-106.538005,336.0,,,www.hospital247.com
248,10248,Hospital Grace Hospital,Houston,WA,40.906706,-109.007955,255.0,Level 1,596.0,www.hospital248.com
249,10249,Hospital Mercy Clinic,Boston,TX,42.481559,-106.139655,251.0,Level 1,1771.0,
250,10250,Hospital Regional Medical Center,Los Angeles,MA,34.176747,-117.274339,377.0,,102.0,www.hospital250.com
