provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services
10027,Hospital Memorial Medical Center,7572 Cedar Lane,Philadelphia,MA,46131,County B,2558732403,Long Term Care,Tribal,True
10028,Hospital St. Mary Hospital,8366 Cedar Lane,Phoenix,PA,99851,County C,2923454494,Rehabilitation,Church,True
10029,Hospital Community Medical Center,6892 Oak Rd,Houston,WA,97073,County D,6663773899,Rehabilitation,Non-Profit,
10030,Hospital Memorial Medical Center,1258 Lake Dr,Houston,MA,34344,County A,3218631125,Rehabilitation,Non-Profit,True
10031,Hospital Unity Health System,9059 Main St,Phoenix,FL,35300,County B,2580330818,Acute Care,Proprietary,False
10032,Hospital Grace Health System,5430 River Rd,Miami,CA,56000,County A,2731725428,Rehabilitation,Non-Profit,False
10033,Hospital Regional Health System,1295 Hill Blvd,Boston,AZ,90798,County C,7960519459,Psychiatric,Government,False
10034,Hospital Central Hospital,9151 Hill Blvd,Houston,MA,19251,County C,5868634215,Rehabilitation,Proprietary,False
10035,Hospital Community Medical Center,5981 Hill Blvd,Boston,WA,36411,County B,4675416063,Critical Access,Church,
10036,Hospital Hope Hospital,2906 Oak Rd,Miami,MA,57386,County A,4408056550,Acute Care,Government,False
10037,Hospital Mercy Hospital,6174 River Rd,Boston,PA,63117,County E,7939225428,Critical Access,Tribal,False
10038,Hospital Regional Clinic,5615 Park Ave,Dallas,GA,67961,County E,3451115908,Psychiatric,Tribal,True
10039,Hospital Unity Health System,3313 Lake Dr,Los Angeles,AZ,82335,County C,2472106257,Psychiatric,Government,True
10040,Hospital Mercy Hospital,666 River Rd,Miami,TX,71976,County C,4997353836,Acute Care,Government,False
10041,Hospital Central Medical Center,1202 River Rd,Philadelphia,WA,73601,County C,5681664490,Acute Care,Tribal,False
10042,Hospital Memorial Medical Center,4919 Park Ave,Chicago,IL,19369,County A,4055042437,Critical Access,Proprietary,True
10043,Hospital Central Clinic,9632 Cedar Lane,Dallas,WA,49680,County C,7701194942,Rehabilitation,Proprietary,True
10044,Hospital Community Medical Center,3510 River Rd,Boston,TX,26784,County A,8816688008,Long Term Care,Government,True
10045,Hospital Memorial Care Center,1897 Park Ave,Dallas,MA,70973,County B,7096436364,Long Term Care,Church,
10046,Hospital Central Hospital,524 Cedar Lane,Miami,MA,88686,County A,3623411493,Long Term Care,Church,False
10047,Hospital Grace Clinic,8257 Hill Blvd,Seattle,IL,73830,County C,6987925339,Acute Care,Church,False
10048,Hospital Grace Hospital,5713 Park Ave,Atlanta,FL,38981,County D,4657586469,Rehabilitation,Church,
10049,Hospital Community Hospital,3874 Cedar Lane,Atlanta,FL,16180,County A,7083036671,Critical Access,Tribal,True
10050,Hospital Memorial Care Center,3858 Cedar Lane,Houston,WA,72712,County E,7352037064,Acute Care,Government,
10051,Hospital Mercy Health System,5924 Main St,Los Angeles,IL,18535,County A,6970926220,Acute Care,Tribal,
10052,Hospital Hope Clinic,5591 Main St,Chicago,WA,51828,County B,2520368234,Critical Access,Church,False
10053,Hospital Hope Clinic,4225 Park Ave,Dallas,NY,72234,County A,8066915493,Long Term Care,Non-Profit,True
10054,Hospital Central Hospital,8148 Lake Dr,Miami,TX,45556,County E,3552240166,Critical Access,Tribal,False
10055,Hospital Regional Care Center,8236 Oak Rd,Boston,TX,26531,County B,7009407389,Psychiatric,Non-Profit,
10056,Hospital Grace Medical Center,2404 Lake Dr,Boston,GA,65061,County C,5403961232,Critical Access,Tribal,False
10057,Hospital St. Mary Medical Center,4373 Oak Rd,Phoenix,GA,88377,County C,3480234007,Acute Care,Non-Profit,False
10058,Hospital Regional Hospital,6978 Elm St,Miami,TX,98992,County A,4417798165,Psychiatric,Tribal,True
10059,Hospital Unity Care Center,8330 Elm St,Philadelphia,MA,60990,County A,2614645719,Rehabilitation,Non-Profit,
10060,Hospital General Clinic,747 Lake Dr,Chicago,PA,89019,County A,2117774893,Critical Access,Tribal,
10061,Hospital Unity Care Center,2926 Lake Dr,Phoenix,IL,36081,County B,8367106841,Rehabilitation,Church,
10062,Hospital Grace Care Center,9029 Park Ave,Chicago,MA,44083,County C,3385609518,Acute Care,Proprietary,
10063,Hospital Community Care Center,2392 Park Ave,Phoenix,IL,49399,County E,9485930818,Acute Care,Non-Profit,False
10064,Hospital St. Mary Medical Center,7331 Park Ave,Philadelphia,AZ,55756,County E,2725717751,Long Term Care,Proprietary,
10065,Hospital Mercy Health System,8723 Lake Dr,Dallas,AZ,96135,County E,3357337732,Acute Care,Church,
10066,Hospital Central Medical Center,5888 Hill Blvd,Seattle,TX,36428,County C,3315737810,Acute Care,Church,
10067,Hospital Community Clinic,7360 River Rd,Phoenix,NY,60729,County A,5410603990,Long Term Care,Tribal,
10068,Hospital Regional Clinic,2377 Park Ave,Boston,NY,21115,County E,5720491968,Acute Care,Church,True
10069,Hospital St. Mary Health System,1256 Oak Rd,Boston,TX,13708,County A,3836258232,Acute Care,Tribal,False
10070,Hospital Mercy Hospital,7329 River Rd,Atlanta,IL,51276,County B,3830296274,Critical Access,Government,
10071,Hospital Mercy Medical Center,9624 Cedar Lane,Los Angeles,PA,20689,County A,7629049022,Acute Care,Church,False
10072,Hospital Community Care Center,4100 Elm St,Los Angeles,TX,35424,County E,6821624556,Long Term Care,Proprietary,True
10073,Hospital Hope Hospital,3662 Park Ave,Dallas,FL,81523,County B,7048800963,Rehabilitation,Tribal,False
10074,Hospital Regional Health System,1536 Hill Blvd,Phoenix,CA,20799,County A,8216571343,Long Term Care,Non-Profit,False
10075,Hospital Regional Care Center,3472 Lake Dr,Dallas,NY,13789,County D,3245125270,Psychiatric,Non-Profit,True
10076,Hospital Mercy Medical Center,1822 Main St,Houston,MA,23439,County A,7434956929,Psychiatric,Government,False
10077,Hospital Hope Health System,8866 Cedar Lane,Philadelphia,CA,53901,County E,2080956346,Long Term Care,Proprietary,False
10078,Hospital Grace Medical Center,2753 Lake Dr,Miami,MA,55289,County D,4749325083,Psychiatric,Tribal,True
10079,Hospital General Health System,982 Cedar Lane,Phoenix,TX,24638,County E,2012023250,Rehabilitation,Proprietary,True
10080,Hospital Community Hospital,5577 Hill Blvd,Atlanta,CA,60242,County E,3341876409,Acute Care,Non-Profit,
10081,Hospital St. Mary Hospital,531 Main St,Phoenix,AZ,40963,County E,3606477548,Psychiatric,Tribal,False
10082,Hospital Hope Medical Center,3948 Park Ave,Dallas,CA,50706,County E,7770697868,Acute Care,Government,True
10083,Hospital General Clinic,8446 Main St,Boston,AZ,19757,County D,3809237570,Critical Access,Government,
10084,Hospital General Care Center,4088 Cedar Lane,Miami,PA,92586,County E,4682303375,Long Term Care,Non-Profit,False
10085,Hospital Regional Hospital,4979 River Rd,Houston,IL,53845,County A,7900333812,Long Term Care,Proprietary,True
10086,Hospital Grace Care Center,1618 Main St,Boston,NY,55085,County B,8245510654,Psychiatric,Non-Profit,False
10087,Hospital Regional Health System,829 Oak Rd,Phoenix,AZ,53295,County B,5400400124,Acute Care,Church,False
10088,Hospital Mercy Care Center,1209 Oak Rd,Houston,FL,25672,County C,3284850916,Psychiatric,Church,
10089,Hospital Unity Hospital,5089 Park Ave,Houston,CA,26821,County C,4575923531,Acute Care,Government,
10090,Hospital Mercy Hospital,4242 Main St,Chicago,NY,36182,County B,8803918559,Acute Care,Proprietary,
10091,Hospital Community Clinic,9012 Park Ave,Los Angeles,GA,47837,County D,4336591614,Psychiatric,Proprietary,True
10092,Hospital Central Clinic,7435 Main St,Boston,TX,31704,County E,3421670694,Long Term Care,Government,True
10093,Hospital Mercy Clinic,2307 Hill Blvd,Chicago,WA,33903,County E,6588639662,Acute Care,Non-Profit,False
10094,Hospital General Hospital,7024 Park Ave,Boston,PA,85344,County E,4962284909,Critical Access,Church,
10095,Hospital Memorial Medical Center,7056 Elm St,Atlanta,CA,65228,County E,6098687148,Psychiatric,Tribal,
10096,Hospital Central Medical Center,8831 Elm St,Chicago,PA,45862,County B,4063972335,Rehabilitation,Non-Profit,False
10097,Hospital Hope Care Center,3238 Oak Rd,Phoenix,WA,31424,County A,8069853050,Critical Access,Church,
10098,Hospital Memorial Care Center,1152 Hill Blvd,Miami,GA,80830,County C,7439125696,Long Term Care,Non-Profit,False
10099,Hospital Memorial Medical Center,9404 Elm St,Houston,AZ,88364,County E,3141923830,Psychiatric,Tribal,True
10100,Hospital General Medical Center,276 Lake Dr,Dallas,WA,31996,County C,4060138651,Critical Access,Tribal,
10101,Hospital Memorial Medical Center,2203 Main St,Chicago,NY,25426,County B,8460031614,Psychiatric,Church,True
10102,Hospital St. Mary Health System,4689 Lake Dr,Atlanta,WA,65242,County B,3306108054,Long Term Care,Tribal,
10103,Hospital General Care Center,5201 Elm St,Houston,TX,53631,County D,3411040450,Rehabilitation,Proprietary,True
10104,Hospital Memorial Health System,4291 Lake Dr,Phoenix,WA,18957,County D,4010120152,Psychiatric,Church,
10105,Hospital Grace Hospital,3457 Hill Blvd,Houston,NY,66135,County B,8385906133,Long Term Care,Church,False
10106,Hospital Mercy Hospital,5104 Oak Rd,Miami,NY,12829,County B,4597998919,Psychiatric,Church,
10107,Hospital Hope Care Center,1811 Main St,Phoenix,NY,54874,County E,6774468164,Long Term Care,Church,
10108,Hospital Grace Hospital,6839 River Rd,Atlanta,PA,10729,County D,6077198970,Critical Access,Government,True
10109,Hospital Grace Clinic,1186 Main St,Dallas,AZ,69037,County C,7882899801,Psychiatric,Church,False
10110,Hospital Memorial Medical Center,440 Hill Blvd,Atlanta,WA,44141,County A,8293960359,Critical Access,Government,True
10111,Hospital General Clinic,6573 Main St,Philadelphia,IL,21564,County B,6394552127,Rehabilitation,Government,True
10112,Hospital Central Clinic,1175 Main St,Philadelphia,CA,57380,County C,3407719001,Psychiatric,Government,False
10113,Hospital Unity Clinic,4888 Park Ave,Phoenix,CA,10517,County D,5092454068,Critical Access,Tribal,False
10114,Hospital St. Mary Medical Center,3364 Park Ave,Los Angeles,MA,70417,County C,5936776546,Acute Care,Non-Profit,
10115,Hospital St. Mary Clinic,3940 River Rd,Los Angeles,WA,33213,County B,9961909686,Acute Care,Non-Profit,
10116,Hospital Central Medical Center,6102 River Rd,Miami,AZ,39441,County A,9567678491,Long Term Care,Government,False
10117,Hospital Memorial Hospital,7558 Hill Blvd,Houston,GA,78582,County C,7801814134,Critical Access,Government,False
10118,Hospital Memorial Care Center,2281 Main St,Houston,NY,95791,County B,8215168579,Critical Access,Tribal,
10119,Hospital Grace Hospital,7839 Oak Rd,Seattle,PA,95720,County C,9142143837,Rehabilitation,Tribal,False
10120,Hospital Unity Hospital,2195 Lake Dr,Philadelphia,TX,87375,County B,2955921710,Acute Care,Tribal,
10121,Hospital Community Clinic,9877 River Rd,Miami,PA,54344,County D,4667659460,Rehabilitation,Proprietary,
10122,Hospital Memorial Medical Center,7034 Elm St,Boston,AZ,48241,County B,9766077474,Rehabilitation,Tribal,
10123,Hospital Grace Care Center,2237 Park Ave,Seattle,IL,31717,County A,7469721501,Psychiatric,Government,False
10124,Hospital General Medical Center,8113 Cedar Lane,Dallas,TX,81390,County C,4126768996,Psychiatric,Proprietary,False
10125,Hospital Mercy Medical Center,1357 Elm St,Phoenix,NY,67887,County E,7386405422,Critical Access,Non-Profit,False
10126,Hospital General Hospital,9172 Elm St,Seattle,TX,52890,County E,8951445997,Rehabilitation,Government,
10127,Hospital Regional Clinic,8146 Cedar Lane,Atlanta,CA,75878,County D,3868975946,Psychiatric,Tribal,True
10128,Hospital Grace Clinic,7900 Elm St,Chicago,CA,28405,County A,8982377537,Acute Care,Proprietary,True
10129,Hospital Memorial Clinic,6179 Park Ave,Boston,AZ,84737,County E,7094719171,Critical Access,Non-Profit,
10130,Hospital St. Mary Hospital,3667 Elm St,Los Angeles,AZ,42291,County A,8581698109,Rehabilitation,Tribal,False
10131,Hospital Unity Medical Center,7713 Park Ave,Phoenix,FL,12517,County C,9342790705,Psychiatric,Proprietary,True
10132,Hospital Unity Health System,2210 Lake Dr,Philadelphia,NY,99767,County C,8615905383,Acute Care,Proprietary,True
10133,Hospital Grace Health System,8898 Park Ave,Philadelphia,TX,47817,County B,6368909739,Critical Access,Government,True
10134,Hospital Unity Care Center,8833 Lake Dr,Dallas,GA,29618,County B,8773392202,Rehabilitation,Proprietary,
10135,Hospital Grace Hospital,7578 Oak Rd,Phoenix,PA,94436,County D,3192461593,Acute Care,Church,True
10136,Hospital Memorial Health System,783 Hill Blvd,Philadelphia,PA,14308,County C,4140289864,Long Term Care,Tribal,False
10137,Hospital Memorial Medical Center,8401 Elm St,Dallas,IL,75257,County D,2104032181,Psychiatric,Proprietary,
10138,Hospital Hope Care Center,3783 Main St,Boston,FL,20492,County D,9262249062,Critical Access,Government,
10139,Hospital St. Mary Health System,4604 River Rd,Chicago,PA,11580,County D,6419595114,Long Term Care,Government,True
10140,Hospital St. Mary Medical Center,2015 Hill Blvd,Dallas,IL,42319,County E,9143168508,Long Term Care,Non-Profit,
10141,Hospital Hope Clinic,5327 River Rd,Seattle,AZ,25904,County A,2669668938,Psychiatric,Government,False
10142,Hospital Mercy Care Center,8313 Cedar Lane,Miami,TX,45568,County E,9317555053,Critical Access,Tribal,True
10143,Hospital Regional Medical Center,8452 Park Ave,Philadelphia,CA,30107,County C,9235090421,Critical Access,Government,True
10144,Hospital Mercy Medical Center,7575 Lake Dr,Boston,FL,26289,County D,9151733127,Acute Care,Tribal,True
10145,Hospital Regional Medical Center,4696 Park Ave,Philadelphia,FL,14303,County C,3785545595,Psychiatric,Tribal,False
10146,Hospital Hope Medical Center,8923 Main St,Boston,WA,60237,County C,2703687996,Long Term Care,Church,True
10147,Hospital Memorial Clinic,8269 Cedar Lane,Chicago,NY,55461,County D,6906642988,Acute Care,Government,False
10148,Hospital General Care Center,5206 Main St,Miami,TX,38934,County B,7035535884,Psychiatric,Tribal,False
10149,Hospital Memorial Care Center,4162 Park Ave,Los Angeles,TX,91764,County B,2497591421,Rehabilitation,Tribal,
10150,Hospital Hope Medical Center,5798 Elm St,Atlanta,NY,14257,County D,6547734000,Acute Care,Non-Profit,
10151,Hospital Hope Medical Center,5326 River Rd,Chicago,WA,40221,County D,2839265003,Rehabilitation,Tribal,False
10152,Hospital Unity Care Center,3257 Park Ave,Seattle,PA,88123,County B,5432656108,Acute Care,Government,
10153,Hospital Hope Care Center,8936 River Rd,Houston,TX,20181,County C,7590936718,Psychiatric,Government,True
10154,Hospital Central Health System,4006 Cedar Lane,Miami,CA,52528,County D,9783614786,Long Term Care,Church,False
10155,Hospital Memorial Health System,2397 Main St,Seattle,PA,88686,County B,9093622162,Rehabilitation,Non-Profit,True
10156,Hospital Memorial Health System,6026 Hill Blvd,Boston,CA,53114,County A,2004061623,Critical Access,Non-Profit,False
10157,Hospital Unity Hospital,5108 Lake Dr,Houston,FL,91086,County E,3787531657,Psychiatric,Non-Profit,False
10158,Hospital Community Clinic,3959 Oak Rd,Dallas,AZ,63146,County E,2008673647,Long Term Care,Proprietary,
10159,Hospital Central Medical Center,7440 Park Ave,Dallas,MA,16991,County C,7860714343,Rehabilitation,Tribal,
10160,Hospital St. Mary Clinic,9333 River Rd,Dallas,CA,93757,County C,8218818578,Psychiatric,Proprietary,False
10161,Hospital Hope Care Center,4223 Main St,Miami,PA,41442,County E,4497552937,Psychiatric,Church,
10162,Hospital General Medical Center,6826 Lake Dr,Houston,IL,80637,County C,9175269767,Acute Care,Non-Profit,False
10163,Hospital Mercy Hospital,8563 River Rd,Philadelphia,IL,47068,County A,9658650437,Critical Access,Tribal,False
10164,Hospital Mercy Health System,6989 Elm St,Seattle,TX,47857,County E,2137739027,Critical Access,Church,False
10165,Hospital Regional Health System,238 Oak Rd,Miami,WA,55971,County C,5135639125,Acute Care,Government,
10166,Hospital General Hospital,993 Elm St,Los Angeles,IL,74233,County E,4095907691,Long Term Care,Proprietary,
10167,Hospital Central Health System,1323 River Rd,Chicago,IL,96639,County B,8394567172,Psychiatric,Tribal,False
10168,Hospital Regional Clinic,3331 Elm St,Atlanta,CA,14991,County B,5833775499,Acute Care,Government,True
10169,Hospital Mercy Health System,9257 Hill Blvd,Dallas,IL,51035,County D,2486448676,Rehabilitation,Government,False
10170,Hospital Hope Care Center,3145 Main St,Houston,PA,51014,County A,2423369430,Acute Care,Non-Profit,True
10171,Hospital St. Mary Care Center,5774 River Rd,Los Angeles,WA,79366,County D,6463053687,Long Term Care,Tribal,True
10172,Hospital Community Medical Center,5805 River Rd,Chicago,CA,96713,County A,9294130807,Rehabilitation,Proprietary,True
10173,Hospital Regional Health System,3688 River Rd,Phoenix,MA,90928,County A,7942632866,Long Term Care,Tribal,
10174,Hospital General Medical Center,4474 Hill Blvd,Chicago,FL,92739,County A,6226994132,Critical Access,Tribal,
10175,Hospital Mercy Hospital,690 Elm St,Phoenix,FL,41960,County B,9464846216,Long Term Care,Church,False
10176,Hospital Community Health System,8556 Cedar Lane,Dallas,IL,56101,County D,3938659578,Acute Care,Non-Profit,
10177,Hospital Hope Hospital,7571 Elm St,Boston,CA,19732,County D,3079792848,Long Term Care,Tribal,
10178,Hospital Central Hospital,8346 Oak Rd,Chicago,FL,66636,County E,9557216334,Acute Care,Proprietary,True
10179,Hospital Community Care Center,2318 Park Ave,Miami,FL,70556,County B,9809988288,Rehabilitation,Church,
10180,Hospital Grace Health System,612 Main St,Dallas,FL,55029,County B,7829526348,Long Term Care,Proprietary,False
10181,Hospital St. Mary Medical Center,7563 Oak Rd,Boston,WA,12471,County E,7591916905,Long Term Care,Government,True
10182,Hospital Unity Health System,249 Hill Blvd,Seattle,GA,16342,County A,9457534911,Long Term Care,Tribal,False
10183,Hospital St. Mary Medical Center,454 Hill Blvd,Seattle,IL,47447,County B,3957976733,Long Term Care,Church,True
10184,Hospital Central Hospital,8201 Park Ave,Philadelphia,IL,56508,County C,4058719112,Long Term Care,Tribal,False
10185,Hospital Community Hospital,2144 Oak Rd,Philadelphia,FL,63538,County E,8321660072,Acute Care,Tribal,False
10186,Hospital Grace Care Center,4934 Cedar Lane,Philadelphia,AZ,20978,County A,6996188343,Psychiatric,Proprietary,False
10187,Hospital Unity Care Center,1830 Elm St,Dallas,GA,59735,County C,9834215841,Critical Access,Tribal,False
10188,Hospital St. Mary Medical Center,6113 Elm St,Atlanta,IL,59211,County C,3504306877,Critical Access,Church,
10189,Hospital General Hospital,8905 Main St,Houston,GA,46450,County A,7426059064,Rehabilitation,Tribal,True
10190,Hospital Mercy Medical Center,4679 Park Ave,Atlanta,FL,82777,County A,8278875782,Acute Care,Proprietary,
10191,Hospital Central Care Center,476 Hill Blvd,Miami,CA,70338,County E,7167871757,Rehabilitation,Proprietary,
10192,Hospital Mercy Hospital,9143 Cedar Lane,Boston,MA,37700,County E,2011378510,Psychiatric,Non-Profit,True
10193,Hospital Unity Hospital,6798 Elm St,Dallas,AZ,99525,County B,8920776407,Acute Care,Non-Profit,True
10194,Hospital St. Mary Health System,1440 Cedar Lane,Philadelphia,PA,45241,County E,3946017437,Rehabilitation,Church,False
10195,Hospital Central Medical Center,4312 Hill Blvd,Boston,TX,38615,County B,9172538230,Psychiatric,Proprietary,True
10196,Hospital Central Hospital,2540 Cedar Lane,Chicago,PA,27763,County B,3084564466,Acute Care,Tribal,False
10197,Hospital Memorial Medical Center,2165 Hill Blvd,Seattle,IL,98017,County D,9537332267,Rehabilitation,Government,
10198,Hospital Central Care Center,5025 Elm St,Seattle,TX,48882,County B,6624339433,Acute Care,Church,True
10199,Hospital Unity Care Center,1071 Hill Blvd,Chicago,NY,89100,County B,7807761059,Acute Care,Proprietary,
10200,Hospital Regional Hospital,9323 Cedar Lane,Los Angeles,TX,33782,County E,6631981603,Psychiatric,Government,True
10201,Hospital Regional Hospital,7800 Park Ave,Boston,GA,42428,County A,8747236873,Acute Care,Proprietary,False
10202,Hospital Unity Medical Center,1983 Main St,Chicago,AZ,80960,County E,7778711869,Rehabilitation,Tribal,True
10203,Hospital Regional Health System,2024 Elm St,Atlanta,WA,77861,County C,4274603694,Long Term Care,Tribal,False
10204,Hospital Unity Hospital,7738 Main St,Atlanta,WA,96036,County E,9717568617,Critical Access,Tribal,True
10205,Hospital Community Hospital,3883 Lake Dr,Phoenix,IL,88588,County C,6134750608,Long Term Care,Government,True
10206,Hospital General Clinic,2672 River Rd,Atlanta,IL,31661,County C,8999241192,Rehabilitation,Proprietary,True
10207,Hospital St. Mary Clinic,7689 Main St,Seattle,WA,56975,County C,3647804014,Rehabilitation,Tribal,
10208,Hospital Memorial Hospital,4773 Hill Blvd,Atlanta,PA,11795,County A,5030851749,Rehabilitation,Church,
10209,Hospital Grace Health System,3772 Main St,Phoenix,FL,12521,County E,5858946334,Long Term Care,Church,False
10210,Hospital Community Hospital,7695 Lake Dr,Boston,MA,11321,County D,5893303134,Rehabilitation,Tribal,True
10211,Hospital Memorial Medical Center,2305 Hill Blvd,Los Angeles,FL,11349,County A,2538069653,Critical Access,Proprietary,False
10212,Hospital Memorial Clinic,6263 Cedar Lane,Seattle,PA,49579,County D,5762492854,Critical Access,Tribal,
10213,Hospital Central Health System,8785 Elm St,Phoenix,TX,63627,County D,6573070691,Acute Care,Proprietary,
10214,Hospital General Health System,4300 Main St,Atlanta,IL,38000,County B,2986561814,Long Term Care,Tribal,
10215,Hospital Central Care Center,3602 Main St,Atlanta,WA,63704,County E,4354054757,Long Term Care,Non-Profit,True
10216,Hospital Unity Care Center,4372 Lake Dr,Houston,CA,71212,County C,9971549758,Psychiatric,Non-Profit,False
10217,Hospital Central Medical Center,8511 Park Ave,Chicago,WA,20363,County C,4055880112,Rehabilitation,Government,True
10218,Hospital General Health System,7702 Elm St,Los Angeles,TX,45829,County A,2421517482,Psychiatric,Church,
10219,Hospital Regional Care Center,9845 Oak Rd,Los Angeles,CA,54332,County D,3390317293,Critical Access,Non-Profit,
10220,Hospital Community Medical Center,4378 Cedar Lane,Chicago,AZ,95496,County D,4481432674,Acute Care,Church,False
10221,Hospital General Care Center,9498 Oak Rd,Miami,GA,74981,County D,5635192462,Psychiatric,Non-Profit,False
10222,Hospital Unity Health System,4746 Elm St,Chicago,AZ,76664,County B,8903853222,Rehabilitation,Church,False
10223,Hospital Central Clinic,465 Hill Blvd,Los Angeles,PA,92455,County B,2197163750,Long Term Care,Church,True
10224,Hospital Hope Care Center,8740 Park Ave,Boston,PA,85797,County E,9564870803,Rehabilitation,Non-Profit,
10225,Hospital General Clinic,1824 Lake Dr,Atlanta,PA,62092,County C,6178388363,Psychiatric,Non-Profit,True
10226,Hospital Hope Hospital,1069 Park Ave,Seattle,AZ,39888,County D,7261191145,Acute Care,Church,
10227,Hospital Community Medical Center,8482 Cedar Lane,Boston,NY,30969,County D,7196291664,Long Term Care,Government,False
10228,Hospital Unity Medical Center,4825 Lake Dr,Houston,GA,16579,County B,6746384342,Rehabilitation,Tribal,False
10229,Hospital Mercy Care Center,2326 Lake Dr,Atlanta,TX,65917,County D,8064037163,Acute Care,Non-Profit,False
10230,Hospital Memorial Health System,1471 Hill Blvd,Philadelphia,NY,69916,County E,6985423594,Acute Care,Non-Profit,True
10231,Hospital Unity Medical Center,5953 Cedar Lane,Miami,PA,72776,County C,6797660312,Acute Care,Government,False
10232,Hospital Central Care Center,6188 Park Ave,Houston,CA,22740,County C,8763835187,Long Term Care,Proprietary,False
10233,Hospital Central Medical Center,8457 Park Ave,Boston,CA,57356,County B,3221628854,Critical Access,Church,False
10234,Hospital Community Care Center,2820 Elm St,Boston,AZ,12659,County B,5597973847,Psychiatric,Tribal,
10235,Hospital Community Clinic,6116 Park Ave,Dallas,CA,45878,County E,2989319510,Acute Care,Non-Profit,
10236,Hospital Central Clinic,7876 Main St,Atlanta,MA,20076,County C,5257129441,Long Term Care,Government,False
10237,Hospital Community Care Center,453 Lake Dr,Dallas,NY,64744,County C,2761788580,Critical Access,Government,True
10238,Hospital Regional Hospital,4543 Lake Dr,Phoenix,CA,27821,County D,3335385917,Rehabilitation,Tribal,
10239,Hospital Unity Clinic,7641 Hill Blvd,Chicago,GA,61922,County B,5451652525,Rehabilitation,Government,False
10240,Hospital Regional Care Center,3340 Oak Rd,Dallas,IL,89474,County E,2012738063,Critical Access,Tribal,True
10241,Hospital Hope Health System,5901 Cedar Lane,Phoenix,MA,26735,County B,9573224408,Acute Care,Proprietary,True
10242,Hospital Unity Care Center,7784 Hill Blvd,Houston,PA,31816,County E,3257741317,Rehabilitation,Non-Profit,True
10243,Hospital St. Mary Health System,564 River Rd,Miami,NY,31137,County D,6028505034,Rehabilitation,Tribal,False
10244,Hospital Community Hospital,3540 Cedar Lane,Chicago,FL,51794,County E,5581666254,Rehabilitation,Tribal,False
